knf_00557_01097230618	ಪರ್ವತಗಳು ವಾಯುವಿಗನುಗುಣವಾಗಿ ಕಂಪಿಸುವುವು.
knf_00254_01575019050	ಅಂಟು ಚಿತ್ರಣವು ಈ ಇನ್ನೂ ಗುರುತಿಸಲ್ಪಡುವ ಪ್ರಾಮುಖ್ಯತೆಗಳನ್ನು ಒಟ್ಟಿಗೆ ಕಲೆಹಾಕಲಾಗುವುದು
knf_07901_00421329644	ಹೊಯ್ಸಳರ ಕುಲದೇವತೆಯಾದ ವಾಸಂತಿಕಾ ದೇವಿಯೇ ಇಲ್ಲಿನ ಮುಖ್ಯ ದೇವತೆಯಾದ ವಸಂತಮ್ಮ ಎಂದು ಹೇಳಲಾಗಿದೆ.
knf_02049_00498204489	ಅಲ್ಲದೇ ಪಿ 6 ಟ್ರಸ್ ನ ಮೇಲಿರುವ ದ್ಯುತಿವಿದ್ಯುಜ್ಜನಕ ಸರಣಿಗಳ ಮೂಲಕ ವಿದ್ಯುತ್ ಶಕ್ತಿಯನ್ನೂ ಕೂಡ ಒದಗಿಸುತ್ತದೆ.
knf_02049_01005048753	ಜುನ್ ೨೧ ಅನ್ನು ಅಂತರಾಷ್ತ್ರೀಯ ಯೋಗ ದಿನವೆಂದು ಸಂಯುಕ್ತ ರಾಷ್ಟ್ರ ಸಂಸ್ಥೆ ಯು ಘೂಷಿಸಿದೆ.
knf_00254_00624800325	ಎತ್ತರದಿಂದ ಕಡಿದಾದ ಭಾಗದಲ್ಲಿ ಇಳಿಯುವ ಹಿಮದ ಹಾಳೆಗಳು ದೊಡ್ಡ ದೊಡ್ಡ ಹಿಮನದಿಗಳಿಗೆ ಎಡೆಮಾಡಿಕೊಟ್ಟಿವೆ.
knf_00254_01374082247	ಹಾಗೆಯೇ ಒಬ್ಬ ನರನ ಒಂದು ಓಡಾಟ ಇಡೀ ವಿಶ್ವದ ಗಡಿಬಿಡಿಗೆ ಸಾಕ್ಷ್ಯವಾಗಬಹುದು
knf_06123_00748126139	ಈ ಆಕಾಶಕಾಯಗಳ ಅಂತಸ್ಥ ಶಕ್ತಿಯ ಋಣಾತ್ಮಕ ಶಕ್ತಿಯು ಎರಡು ಆಕಾಶ ಕಾಯಗಳ ನಡುವಿನ ಅಂತರಗಳನ್ನು ಹೆಚ್ಚಿಸುತ್ತವೆ.
knf_00254_01445061454	ಎಲೆಯ ಮೇಲ್ಭಾಗ ಒರಟು, ತಳಭಾಗದಲ್ಲಿ ರೋಮಗಳಿವೆ.
knf_01493_01702626313	ಮುಂಚೆ ಪೋರ್ಚುಗಲ್ನ ವಸಾಹತು ಆಗಿದ್ದ ಈ ದೇಶದಲ್ಲಿ ಹೇರಳವಾಗಿ ಎಣ್ಣೆ ದೊರೆಯುತ್ತಿತ್ತು
knf_08476_00584048713	ಇಲ್ಲಿರುವ ಕೆಲವು ಭಾವಿಗಳಿಂದಲೂ ವ್ಯವಸಾಯಕ್ಕೆ ನೀರು ಒದಗುತ್ತದೆ
knf_00557_00398420449	ಇವುಗಳಲೆಲ್ಲ ಅಡ್ವಾನ್ಸ್ಡ್ ಡಯಗ್ನಾಸ್ಟಿಕ್ ಅಲ್ಟ್ರಾಸೌಂಡ್ ಇನ್ ಮೈಕ್ರೋಗ್ರಾವಿಟಿ ಅಧ್ಯಯನವು ಅತ್ಯಂತ ಪ್ರಮುಖವಾಗಿದೆ.
knf_07901_01717120687	ಕ್ಯಾಂಟನ ಪ್ರಕಾರ ಕಾಲ ಮತ್ತು ದೇಶಗಳು ನಮ್ಮ ಅಂತರ್ಬೋಧೆಯ ಸ್ವಚ್ಛ ರೂಪಗಳು.
knf_07901_00187528176	ಅಂತಾರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರದ ಮೊತ್ತ ಇಳಿಮುಖವಾಯಿತಷ್ಟೇ ಅಲ್ಲದೆ ಅದು ವಿರೂಪವೂ ಆಯಿತು.
knf_05820_00995673233	ಅಂತಪಾಲರು - ಕೌಟಿಲ್ಯನ ಅರ್ಥಶಾಸ್ತ್ರದಲ್ಲಿ ಉಲ್ಲೇಖಿತವಾಗಿರುವ ಆಡಳಿತಾಧಿಕಾರಿಗಳು.
knf_07598_01829154874	ಇದರ ಪಕ್ಕದ ಸಣ್ಣ ಗುಡ್ಡಪ್ರದೇಶದಲ್ಲಿ ಹುಲ್ಲು ಬೆಳೆಯುತ್ತದೆ.
knf_05820_01984175586	ವಾರ್ಷಿಕ ಸರಾಸರಿ
knf_03574_01896908184	ಅಂತರಿಕ್ಷಯಾನ ಇಂಜಿನಿಯರಿಂಗ್‌ನಲ್ಲಿ ಪದವಿಪೂರ್ವ ಹಾಗು ಪದವಿ ಶಿಕ್ಷಣ ನೀಡುತ್ತದೆ.
knf_01493_01091084865	ಪಶ್ಚಿಮದಲ್ಲಿ ಅರಬ್ಬಿ ಸಮುದ್ರ
knf_02049_01602500771	ಸೌಲಭ್ಯಕ್ಕಾಗಿ ಅನೇಕ ಸಂಸ್ಥೆಗಳು ವರ್ಷಕ್ಕೆ ಒಮ್ಮೆ ಗೊತ್ತುಪಡಿಸಿರುವ ಶುಲ್ಕವನ್ನು ಅಂಚೆ ಇಲಾಖೆಗೆ ಕೊಟ್ಟು ತಾವು ರವಾನಿಸುವ ಕಾಗದಪತ್ರಗಳ ಮೇಲೆ ತಮ್ಮದೇ ಆದ ಮುದ್ರೆಯೊತ್ತಿ ರವಾನಿಸುತ್ತಾರೆ.
knf_00254_01929461288	ಅಂತರ್ಜಾಲಗಳು ವೀಕ್ಷಕರಿಗೆ ನೇರವಾದ ಜೀವಂತಿಕೆಯ ಬದಲಾವಣೆಗಳನ್ನು ಒದಗಿಸುತ್ತವೆ.
knf_07345_01196095439	ಸುಮಾರು 40 ದಶಲಕ್ಷ ವರ್ಷಗಳ ಹಿಂದೆ ಅನಂತರ ಹಿಮಯುಗದಲ್ಲಿ ಹಿಮದ ಸ್ತರಗಳು ನಿರಂತರವಾಗಿ ಖಂಡದ ಮೇಲೆ ಬೆಳೆಯುತ್ತ ಹೋದುವು.
knf_07598_01563332978	ಇದು ನಂಬಿಕೆಯು ಪಾಶ್ಚಿಮಾತ್ಯ ದೇಶಗಳಲ್ಲಿ ಪ್ರಬಲವಾಗಿ ಯೋಚನೆಯಾಗಿ ಮಾರ್ಪಟ್ಟಿತ್ತು.
knf_00557_01450244629	ಕಿಬ್ಬೊಟ್ಟೆಯ ಭಾಗದ ಗೋಡೆಯಲ್ಲಿನ ದೋಷವೊಂದು ಸೀಮಿತಗೊಳಿಸಲ್ಪಟ್ಟಿರುವ ರಂಧ್ರ
knf_09696_01123421715	ಮೊದಲ ನಾಲ್ಕು ಅಕ್ಷರಗಳನ್ನು ಸರಣಿಯ ಅಂತ್ಯಕ್ಕೆ ಸರಿಸಿ.
knf_09123_00227632215	ಪ್ರತಿನಿಧಿಗಳಲ್ಲಿ ಒಂದು ಕ್ರಮಬದ್ಧ ವಿನಿಮಯ ವ್ಯವಸ್ಥೆಯನ್ನು ನಡೆಸಿಕೊಂಡು ಹೋಗುವುದು ಮತ್ತು ವಿನಿಮಯದ ಏರಿಳಿತದ ಸ್ಪರ್ಧೆಯನ್ನು ತಡೆಯುವುದು
knf_07901_01855835815	ಇವುಗಳ ಅಧ್ಯಯನಕ್ಕೆ ಪ್ರಭಾವಶಾಲಿಯಾದ ಏಕೈಕ ವಿಧಾನವೆಂದರೆ ಅಂತರವಲೋಕನವೆಂದು ಆತನ ವಾದ.
knf_05820_01301894282	ಅಂತಃಸ್ರಾವಕ ಅಂಗಗಳ ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಚಿತ್ರಿಸುವಿಕೆಯು ಇನ್ಸಿಡೆಂಟಾಲೋಮಾಗಳೆಂದು ಕರೆಯಲಾಗುವ ಸಂಭವನೀಯ ಆವಿಷ್ಕಾರಗಳನ್ನು ಬಹಿರಂಗಪಡಿಸಬಹುದಾಗಿದೆ
knf_01493_01466310738	ಸಣ್ಣ ಸಣ್ಣ ರೆಂಬೆಗಳನ್ನು 20-25 ಸೆಂತಿಮೀಟರ್ನಷ್ಟು ಉದ್ದ ಕತ್ತರಿಸಿ
knf_03755_01209167707	ಇದು ಅವರ ಅತ್ಯುತ್ತಮ ಪ್ರದರ್ಶನವೆಂದು ಅವರು ಭಾವಿಸುತ್ತಾರೆ.
knf_07901_00521560343	ಒಂದು ಘಂಟೆಯ ಊಟದ ವಿರಾಮದ ನಂತರ ಮಧ್ಯಾಹ್ನ ಇನ್ನೂ ಅಧಿಕ ಕೆಲಸಗಳನ್ನು ಮತ್ತು ವ್ಯಾಯಾಮಗಳನ್ನು ಮಾಡಲಾಗುತ್ತದೆ.
knf_00001_01325779790	ಹೆಚ್ಚಿನ ಅಂಕಿ ಸಂಖ್ಯೆ ವಿಷಯವು ಸಾಂಸ್ಕೃತಿಕ ತಳಹದಿಯನ್ನು ಹೊಂದಿದೆ.
knf_05550_00140759531	ನೌಕರರ ನಿವೃತ್ತಿ ಯೋಜನೆಗಳು
knf_09696_01495949729	ಆಮದುಮಾಡಿಕೊಳ್ಳುವ ದೇಶಗಳಲ್ಲಿ ವ್ಯಾಪಾರೀಯ ಮಧ್ಯವರ್ತಿ ಸರಕುಗಳನ್ನು ಆಗ ಒಳಹರಿವು ಉತ್ಪಾದನೆಯನ್ನಾಗಿ ಬಳಸಿಕೊಳ್ಳಲಾಗುತ್ತದೆ.
knf_06123_01941186857	ಇದೇ ವರ್ಷದ ಲೂಧಿಯಾನ ರಾಷ್ಟ್ರೀಯ ಕ್ರೀಡಾಕೂಟದಲ್ಲಿ ನಡೆದ ಲಾಂಗ್ ಜಂಪ್ ಮತ್ತು ಟ್ರಿಪಲ್ ಜಂಪ್ ಕ್ರೀಡೆಗಳಲ್ಲಿ ಚಿನ್ನದ ಪದಕವನ್ನೂ ಕೂಡ ಅವರು ಗೆದ್ದುಕೊಂಡರು.
knf_00557_00472092670	ಇದು ಸಮುದ್ರಮಟ್ಟದ ಗುರುತ್ವಕ್ಕೆ ಸಮನಾಗಿದೆ.
knf_02049_01167287572	ವಾಯುವಿನ ರಥ ಗುಡುಗಿನಂತೆ ಶಬ್ದ ಮಾಡುವುದು.
knf_07345_00872722636	ಹೆಚ್ಚುಕಾಲ ಬಳಸಿದರೆ ಆಹಾರದ ಕೊರತೆಯಿಂದ ರಕ್ತಹೀನತೆಯುಂಟಾಗುವುದನ್ನು ತಪ್ಪಿಸುತ್ತದೆ.
knf_03574_00333300950	ಪೋರ್ಚುಗೀಸರ ಆಕ್ರಮಣ ಹೀಗೆ ಮುಂದುವರಿಯಿತು.
knf_05550_00114510720	ಈ ರೀತಿ ಶಕ್ತಿ ಪರಿವರ್ತನೆ ಕ್ರಿಯೆಗೆ ಸೂರ್ಯನಿಂದ ಬರುವ ಶಕ್ತಿಯು ಒಂದು ಉದಾಹರಣೆಯಾಗಿದೆ.
knf_08476_00636330830	ಪ್ರಜ್ಞಾತ್ಮಕ ಪ್ರಕ್ತಿಯೆಗಳು ಅಸ್ಥಿರವಾದುವುಗಳು
knf_05550_02119213754	ದೇಶದ ಆರ್ಥಿಕಾಭಿವೃದ್ಧಿ ವ್ಯಾಪಾರ ವಾಣಿಜ್ಯಗಳನ್ನು ಅವಲಂಬಿಸಿದ್ದುದರಿಂದ ಕೌಟಿಲ್ಯನು ಪಾಶ್ಚಾತ್ಯ ವಾಣಿಜ್ಯೋದ್ಯಮಗಳನ್ನು ದೇಶದಲ್ಲಿ ನೆಲೆಸುವಂತೆ ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಿದ್ದನು.
knf_05550_00926687066	ಅಂತರ್ಜಾಲದ ಕುರಿತ ಪ್ರತಿಕ್ರಿಯೆಗಾಗಿ ಕಾಯಬೇಕಿಲ್ಲ
knf_09696_00097817525	ಟಿಮ್ ಬರ್ನರ್ಸ್, ಲೀ ಸಂಪಾದಿಸುತ್ತಿದ್ದ ಈ ಪಟ್ಟಿಯನ್ನು ಸಿಇಆರೆನ್ ಜಾಲಮಧ್ಯವರ್ತಿಯ ಮೂಲಕ ಪ್ರಸಾರ ಮಾಡಲಾಗುತ್ತಿತ್ತು.
knf_09696_01596639143	ವೃತ್ರನೊಡನೆ ಹೋರಾಡಿ ಅವನನ್ನು ವಧಿಸಿದ್ದಾನೆ.
knf_01493_01803550683	ಇವನ್ನು ಬಿಟ್ಟು ಒಟ್ಟಿನಲ್ಲಿ ನೋಡುವುದಾದರೆ
knf_01493_00612235868	ಒಂದು ಸಮ,ಸಮ ಮತಾಭಿಪ್ರಾಯ ಬಂದರೆ ಆಗ ಅಧ್ಯಕ್ಷರ ಮತವು ನಿರ್ಧಾರಕ ಅಂಶವಾಗುತ್ತದೆ.
knf_05820_01837206088	ಅತ್ಯಲ್ಪ ಪ್ರಮಾಣದ ನೀರನ್ನು ಸಸ್ಯಗಳು ಹೀರಿಕೊಳ್ಳುತ್ತವೆ.
knf_09123_00147305461	ಆ ಭೌತಿಕ ವಸ್ತುವಿನ ಮೇಲಾಗುವ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಅಂತಸ್ಥ ಶಕ್ತಿಯು ಅನೇಕ ಸಂಬಂಧಿತ ಅಂಗಗಳಿಗೂ ಅನ್ವರ್ಥವಾಗಿರುತ್ತದೆ
knf_03574_01912312353	ಎಲ್ಲ ಅಧಿಕೃತ ಬಳಕೆದಾರರ ಮೂಲಕ ಮಾಹಿತಿಯನ್ನು ಸುಲಭವಾಗಿ ಸಂಗ್ರಹಿಸಬಹುದು.
knf_03574_01544169676	ಬಂಡವಾಳ
knf_06123_01940952292	ಹೀಗೆ ವಿಶಿಷ್ಟ ರೋಧಜನಕದಿಂದಾದ ಪ್ರತಿರಕ್ಷಣೆಯನ್ನೋ ಇಂದಿನ ಇಲ್ಲವೇ ಹಿಂದಿದ್ದ ಸೋಂಕನ್ನು ಗುರುತಿಸಲೂ ಇದರಿಂದ ಅನುಕೂಲ.
knf_00557_01394028930	ಇದೊಂದು ಔಷಧೀಯ ವಸ್ತುವೂ ಹೌದು, ಅಂಜೂರದ ಸೇವನೆಯಿಂದ ಮಲಬದ್ಧತೆ ನಿವಾರಣೆಯಾಗುತ್ತದೆ.
knf_08476_01809817774	ಸಾಮಾನ್ಯವಾಗಿ ನ್ಯಾಯಾಲಯವು ಗಡಿ ಬಳಕೆ ಹಾಗು ಸಾಗರದ ಮಾರ್ಗಗಳ ಉಪಯೋಗದ ಬಗ್ಗೆ ಸೂಕ್ತ ನಿರ್ಣಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ
knf_00001_01589905789	ಸ್ಥಳದಲ್ಲಿಯೆ ಖರೀದಿಮಾಡುವವನಿಗೇ ನೇರವಾಗಿ ಪದಾರ್ಥಗಳನ್ನು ಒದಗಿಸುವುದು.
knf_00557_01525930678	ಸಾಮಾನ್ಯವಾಗಿ ಈ ಕೆಳಕಂಡ ವ್ಯತ್ಯಾಸಗಳನ್ನು ಕಾಣ ಬಹುದಾಗಿದೆ.
knf_09123_01310418847	ತುಲನಾತ್ಮಕ ಅನುಕೂಲತೆಯ ಸಿದ್ಧಾಂತ
knf_09696_00220359841	ಅಂತರ್ಜಾಲಗಳನ್ನು ಕಾರ್ಪೋರೇಟ್ ಕಾರ್ಯ, ಚಟುವಟಿಕೆಯ ಸಂಸ್ಕೃತಿ, ಬದಲಾವಣಾ ವೇದಿಕೆಗಳಾಗಿಯೂ ಸಹ ಬಳಸಲಾಗುತ್ತದೆ.
knf_03271_00309903976	ಈ ರೀತಿಯಾಗಿ ಅಂತಾರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರವು ಹೆಚ್ಚಾಗಿ ಸರಕು ಮತ್ತು ಸೇವೆಗಳಿಗೆ ನಿರ್ಬಂಧಿಸ್ಪಲ್ಪಟ್ಟಿದ್ದು
knf_09696_01655878942	ಸಮೀಪದಲ್ಲಿ ವಿದ್ಯುತ್ತಿನ ಮೂಲಕ ಪೂರಣವಾದ ಇನ್ನೊಂದು ವಸ್ತುವಿದ್ದರೇ ಈ ಶಕ್ತಿಯು ಸೊನ್ನೆಯಾಗಿರುವುದಿಲ್ಲ.
knf_07901_00781384942	ಅಂಥ ಕಂಪನಿಗಳಲ್ಲಿ ಇವು ಸೇರಿವೆ
knf_02173_00723849176	ಅರ್ಧ ಮೈಲಿಯಲ್ಲಿ
knf_09123_01656989253	ಹಿಂದೂ ಮಹಾಸಾಗರ
knf_00254_01397315741	ಕೈಸನ್ ಎಂಬ ಪದಕ್ಕೆ ಸ್ಥಳದಲ್ಲಿಯೇ ರಚಿಸಿದಂಥ ಸೇತುವೆಯ ಸ್ತಂಭಗಳು ಎಂಬ ಅರ್ಥವೂ ಇದೆ.
knf_02049_00502200794	ಹೂ ಬಿಡುವಿಕೆಯ ಮೇಲೆ ತಗ್ಗಿದ ಉಷ್ಣತೆಯ ಪ್ರಭಾವವೇನು ಎಂಬುದನ್ನು ಸುಮಾರು ಒಂದು ಶತಮಾನದಿಂದಲೂ ವಿಜ್ಞಾನಿಗಳು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದಾರೆ.
knf_09123_00289533091	ಇಲ್ಲವೆ ಈ ಪ್ರಕರಣದ ಸ್ವೀಕರಿಸಲು ವಿಶೇಷ ಮನವಿ ಸಲ್ಲಿಸಬಹುದಾಗಿದೆ
knf_02049_01227790267	ಸುಶ್ರುತ ಸಂಹಿತೆಯಲ್ಲಿ ಸೂತ್ರಸ್ಥಾನ
knf_08476_01427189602	ಬೆಳವಣಿಗೆಗೆ ಬೇಕಾದ ಅಂಶಗಳು
knf_02049_01565976349	ಉದಾಹರಣೆಗೆ
knf_00001_01640324413	ಇದು ಪ್ರಾರಂಭವಾದದ್ದು ಇತ್ತೀಚೆಗೆ.
knf_01796_00110180224	ಇದು ತಿರುವುಮುರುವಾಗಿ ಬೀಳುತ್ತದೆ
knf_03755_00245961141	ಇಲ್ಲಿ ಅತ್ಯಂತ ಉಪಯುಕ್ತವಾದ ಮರಗಳಿರುವ ದಟ್ಟವಾದ ಕಾಡುಗಳಿವೆ
knf_02049_02030491171	ಮೊದಲನೆಯ ಮಹಾಯುದ್ಧದ ಅನಂತರ ದ್ವಿತೀಯ ಅಂತಾರಾಷ್ಟ್ರೀಯವು ಪ್ರಪಂಚದ ಶ್ರಮಜೀವಿಗಳ ಮುನ್ನಡೆಗೆ ಕಂಟಕವಾಯಿತಲ್ಲದೆ ಸಮಾಜವಾದದ ಗುರಿಯಿಂದಲೂ ಹಿಮ್ಮೆಟ್ಟಿತು.
knf_02049_00682217470	ಈ ಜಲವನ್ನು ಅಧಿಷ್ಠಾನವಾಗಿ ಹೊಂದಿರುವ ದೇವತೆ ಜಲದೇವತೆ
knf_06123_01864372168	ಭೌಗೋಳಿಕ ಧ್ರುವ ಮತ್ತು ಕಾಂತಧ್ರುವ ಎರಡು ಪ್ರಸ್ಥಭೂಮಿಯಲ್ಲೇ ಇವೆ.
knf_09123_00230759927	ಜ್ಞಾನದಿಂದ ಮಾಯೆಯ ನಾಶವಾದಾಗ ಜೀವಾತ್ಮ ಪರಮಾತ್ಮರು ಬೇರೆಬೇರೆಯಲ್ಲವೆಂದು ಅರಿವು ಉಂಟಾಗುವುದು ಸಾಕ್ಷಾತ್ಕಾರ
knf_01796_00570445348	ಅಟ್ಲಾಂಟಿಸ್
knf_07345_01984872059	ಅಂಡವಾಯುಗಳ ಗುಣಲಕ್ಷಣಗಳು ಭಿನ್ನವಾಗುತ್ತಾ ಹೋಗುತ್ತವೆ.
knf_03755_00930808144	ಅಂಟಣಿಕದ  ಈ ವರ್ತನೆ ರೋಧಜನಕ ರೋಧವಸ್ತು ನಡುವಣ ಮಾದರಿಯಾದ ಪ್ರತಿಕ್ರಿಯೆ.
knf_07901_01506294779	ಅಂಗಾಂಶದ ಇಂಜಿನಿಯರಿಂಗ್ ಜೊತೆ ನಿರಂತರವಾಗಿ ಮತ್ತೆ ಮತ್ತೆ ಮರಳುವ ತೊಂದರೆ ಎಂದರೆ ಸಾಗಣಿಕೆಯ ಪರಿಮಿತಿಗಳು.
knf_03755_00956297581	ಈ ಸೂಕ್ಷ್ಮ ಆಕೃತಿಗಳು ಮತ್ತೆ ಸ್ಫಟಿಕೀಕರಣಗೊಂಡು ಬದಲಾವಣೆ ಹೊಂದಿರಲೂಬಹುದು ಮತ್ತು ಕೆಲವು ಅಂಡಾಶ್ಮಗಳು ತಮ್ಮ ಏಕಕೇಂದ್ರೀಯ ಆಕಾರಗಳನ್ನು ಕಳೆದುಕೊಂಡಿರಲೂಬಹುದು.
knf_00254_01872177782	ಆದುದರಿಂದ ಅದನ್ನು ಫೆಲ್ಟು ಬಟ್ಟೆಯನ್ನು ಅಂಟಿಸಲಾಗುತ್ತದೆ
knf_07901_00117816525	೧೯೧೩ ರಿಂದ ೧೯೧೪, ಅಂತರಾಷ್ಟ್ರೀಯ ಮಹಿಳೆಯರ ದಿನದ ಆಚರಣೆ ೧ನೇ ವಿಶ್ವ ಯುದ್ಧವನ್ನ ತಡೆಗಟ್ಟುವ ಯಾಂತ್ರಿಕ ಕೌಶಲ್ಯವಾಗಿ ಮಾರ್ಪಟ್ಟಿತು.
knf_09123_01487086365	ಸಾವಿರ ಒಂಬೈನೂರಾ ಎಪ್ಪತ್ತೇಳ ರಿಂದ ಸಾವಿರ ಒಂಬೈನೂರಾ ಎಪ್ಪತ್ತೊಂಬತ್ತರ ವರೆಗೆ ಬಳಸಲಾದ ಪೂಜ್ಯ ರಿಂದ ಮೂರರ ಆವೃತ್ತಿಗಳು ಒಳಗೊಂಡಿದೆ
knf_06123_00630309447	ಪೂರ್ವಯೋಜಿತ ಆಧಾರದ ಮೇಲೆ ನಡೆಯುವ ಅಂತರ್ಯುದ್ಧವನ್ನು ರಾಜಕೀಯದ ಮಹಾಬೇನೆ ಎಂದು ಕರೆಯಬಹುದು.
knf_09696_00746136826	ಒಂದು ಸಣ್ಣ ಪ್ರಮಾಣದ ಡೀಸಲ್ ಜನರೇಟರ್ ಬ್ಯಾಕ್ಅಪ್ ಅಧಿಕಾರಕ್ಕಾಗಿ ಮತ್ತು ವಿದ್ಯುತ್ ಗ್ರಿಡ್ ಗೆ ಸಂಪರ್ಕ ಪ್ರದೇಶಗಳಿಗೆ ವಿದ್ಯುಚ್ಛಕ್ತಿ ಒದಗಿಸುವ ಬಳಸಲಾಗುತ್ತದೆ.
knf_09696_01241961727	ಈ ಸರಣಿಗಳು ಕಕ್ಷೆಯ ಸಮತಲದೆಡೆಗೆ ಸೂರ್ಯನ ದಿಕ್ಕಿನಲ್ಲಿ ತಿರುಗುತ್ತವೆ
knf_06123_01341364244	ಸಸ್ಯದಿಂದ ರಸ ಹಿಂಡುವುದಕ್ಕೆ ನಾವು ಬಳಸುವ ಇಕ್ಕಳ ಸಾಕಾಗುತ್ತದೆ.
knf_03467_00777588430	ಅವರು ಪ್ರತಿದಿನ ತರಬೇತಿ ಯುವರಾಜ್ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.
knf_01493_01777404579	ವಿಭಿನ್ನ ಗುಣಮಟ್ಟದ, ಅನುವರ್ತನಾಶೀಲ ವೆಬ್ ಬ್ರೌಸರ್ ಗಳು ವಿಂಡೋಸ್
knf_09696_01926523575	ಹವಾಗುಣದ ವ್ಯತ್ಯಾಸ ಮತ್ತು ಹಣ್ಣು ರೂಪುಗೊಳ್ಳಲು ಅನುಕೂಲವಾಗುವಂತೆ ಕ್ಯಾಪ್ರಿ ಅಂಜೂರದ ಪರಾಗಸ್ಪರ್ಶ ಮಾಡುವ ಪದ್ಧತಿಯಲ್ಲಿ ವ್ಯತ್ಯಾಸ
knf_02173_00653450508	ನೂರು ಅಡಿಗಳಲ್ಲಿ
knf_03755_00476281667	ಜನಗಣತಿ ವಿಭಾಗವು ಆಗ ಈ ವಿಭಿನ್ನವಾದ ದತ್ತಾಂಶವನ್ನು ನಡುವೆ ಸೇರಿಸುತ್ತದೆ.
knf_03467_01253258308	ಇವು ಐನೂರ ಎಪ್ಪತ್ತು ದಶಲಕ್ಷ ವರ್ಷಗಳಿಗೂ ಹಿಂದಿನವು.
knf_09696_01688622687	ಈ ಸ್ವಯಂಪೂರ್ಣ ರಚನೆಗಳಲ್ಲಿ ಸಂಪರ್ಕ, ಪ್ರಧಾನ ಪದರದಲ್ಲಿರವಾನಾ ನಿಯಂತ್ರಣ ಶಿಷ್ಟಾಚಾರ ಹಾಗೂ ಅಂತರಜಾಲಪದರದಲ್ಲಿ ಅಂತರಜಾಲ ಶಿಷ್ಟಾಚಾರ ವ್ಯವಸ್ಥೆಗಳಿದ್ದವು.
knf_02049_00978455746	ಅವರ ತಂದೆಯಿಂದಲೇ ಅಥ್ಲೆಟಿಕ್ಸ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಿದರು.
knf_02049_01616287718	ಈ ಸವಲತ್ತುಗಳಿದ್ದರೂ ನ್ಯಾಯಾಧೀಶರ ಸ್ವಾತಂತ್ರದ ಬಗ್ಗೆ ಹಲವು ಪ್ರಶ್ನೆಗಳೇಳುತ್ತವೆ.
knf_05550_00318976600	ಸೂತ್ರ
knf_09696_00473841690	ಉದಾಹರಣೆಗಾಗಿ
knf_03574_01143173675	ಗುರುತ್ವಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ಕಾರ್ಯ ನಿರ್ವಹಿಸುವ ಬಲವನ್ನು ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಅಂತಸ್ಥ ಶಕ್ತಿ ಎನ್ನುತ್ತೇವೆ.
knf_00001_01286116003	ಅಂತಸ್ಥ ಶಕ್ತಿಗಳಲ್ಲಿ ಹಲವು ರೀತಿಗಳಿವೆ ಮತ್ತು ಅವುಗಳು ತಮ್ಮದೇ ಆದ ಬಲವನ್ನು ಹೊಂದಿರುತ್ತವೆ.
knf_03844_01970246183	ಈ ಮಂಡಳಿಗೆ ಪ್ರಸಕ್ತವಾಗಿ ೧೦೧ ಸದಸ್ಯ ದೇಶಗಳು ಸೇರಿವೆ
knf_05550_00043740304	ಆದರೆ ಇದನ್ನು ಪ್ರಸ್ತುತದ ಒಬಾಮ ಆಡಳಿತವು ನಿರಾಕರಿಸಿದೆ.
knf_01493_01280480502	ಕೆಲವೇ ಪದರಗಳು ಅಗತ್ಯವಾಗಿರುವ ಉದ್ದೇಶಪೂರ್ವತ ತಯಾರಿಕೆಯ 'ಅಂಟಿಸುವಿಕೆ'ಯನ್ನು ಒಳಗೊಂಡಿರುವ ಸಾಂಪ್ರದಾಯಿಕ ಕೌಶಲ್ಯಗಳಲ್ಲಿ ಹಲವಾರು ವಿಧಾನಗಳಿವೆ.
knf_00254_01644599885	ಇದರ ಹಣ್ಣುಗಳನ್ನು ತಿನ್ನಲು ಉಪಯೋಗಿಸುತ್ತಾರೆ.
knf_05820_02133171714	ಹೀಗೆ ಮೂರು ರಾತ್ರಿ ಪರ್ಯಂತ ದೀಪ ನೀಡುವುದು ನಡೆಯುತ್ತದೆ.
knf_01493_02033808382	ಆದರೆ ಕಾನಿಷ್ಕನ ಕಾಲವೇ ನಿರ್ಧಾರವಿಲ್ಲ
knf_00254_00744158811	ಪುರುಷಾಕಾರವನ್ನು ಈತ ಹೊಂದಿದ್ದಾನೆ.
knf_01493_01371498878	ಮೇ ಒಂದನೆಯ ತಾರೀಖನ್ನು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಕೂಲಿಗಾರರ ದಿನವೆಂದು ಘೋಷಿಸಿದುದು ಇದರ ಮುಖ್ಯಸಾಧನೆ.
